profile_id,text,department_true,department_pred,department_conf,seniority_true,seniority_pred,seniority_conf
0,prokurist depot4design gmbh,Other,Sales,0.3529067968633593,Management,Lead,0.5090255699348888
1,solutions architect computer solutions,Information Technology,Information Technology,0.2971571916020976,Professional,Lead,0.3339680122443267
2,medizintechnik beratung udo weber,Consulting,Project Management,0.3814505240189272,Professional,Lead,0.4547454285891109
3,director expansion de negocio grupo viajes kontiki,Business Development,Marketing,0.24197279883029715,Director,Director,0.9741066673340028
4,apl ansvarig samordning himmelstalunds utbildningscentrum,Administrative,Sales,0.18854638607078095,Lead,Lead,0.43310793587396607
5,kaufmannischer leiter fsd fahrzeugsystemdaten gmbh,Sales,Sales,0.23653430454583044,Lead,Lead,0.8886149043153782
6,lab supervisor macdermid enthone industrial solutions,Other,Sales,0.20005241176121744,Lead,Lead,0.35939434721568175
7,human resources generalist boise cascade company,Human Resources,Human Resources,0.9583820618384062,Professional,Lead,0.4134549168023886
8,managing director phobosys gmbh,Other,Sales,0.26861655077907054,Management,Director,0.9956310507503664
9,meister,Other,Sales,0.18854638607078095,Lead,Lead,0.43310793587396607
10,applikation analyst senior postbank systems ag,Information Technology,Project Management,0.24017205581656897,Senior,Junior,0.5516160631244971
11,set lighting twentieth century fox,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
12,projektmanager msg systems ag,Project Management,Project Management,0.7693371219345769,Professional,Lead,0.3460866445393567
13,leistungssachbearbeiter sgb ii landeshauptstadt wiesbaden,Other,Sales,0.18854638607078095,Professional,Lead,0.363222177171345
14,energy and sustainability consultant bei ee concept gmbh,Consulting,Consulting,0.47547953556493167,Professional,Senior,0.5773309540012188
15,purchasing manager accoppiatura di asolo s p a,Purchasing,Purchasing,0.9497457551384028,Professional,Senior,0.8569245827705312
16,geschaftsfuhrer team josten,Other,Sales,0.2744214521681936,Management,Management,0.9662441546058143
17,abfallberaterin awista gmbh,Other,Sales,0.250601179373275,Professional,Lead,0.3594780295646011
18,senior project manager swiss life asset managers deutschland,Project Management,Project Management,0.7140975061948532,Senior,Senior,0.9569424515971816
19,inspektør tdc,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
20,dr phil selbststandig,Other,Sales,0.18854638607078095,Professional,Lead,0.3916513721835998
21,geschaftsfuhrer cmo thurm gmbh,Marketing,Sales,0.28040442108880137,Management,Management,0.9884710938735383
22,bereichsleiter maschinen vorruhestand,Other,Marketing,0.210244394503589,Lead,Lead,0.9365917856063809
23,principal rf design engineer etse electronics pty ltd,Information Technology,Project Management,0.19807278264111453,Senior,Senior,0.6310229680403724
24,physician assistant tallahassee orthopedic clinic,Other,Marketing,0.1901216187139902,Professional,Senior,0.9631205848574773
25,unternehmensinhaber fresenius kabi,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
26,consultor de vendas portobello shop,Sales,Marketing,0.33134468425736074,Professional,Lead,0.5249814006086996
27,ceo founder esba horti solutions bv,Other,Information Technology,0.22131073718171787,Management,Management,0.9684476095686105
28,sandblast and prep countryside body welding inccountryside body welding inc,Other,Marketing,0.2092542436973643,Professional,Lead,0.23556858087827137
29,professor university of ulm,Other,Sales,0.22401074164860565,Professional,Lead,0.9044435273325812
30,qualifizierter kreditsachbearbeiter im risikorelevanten kreditgeschaft vr bank lahn dill,Other,Sales,0.2897543292860915,Professional,Lead,0.37837935952830354
31,director consultant juridique international ltd,Other,Consulting,0.8032855501433844,Director,Director,0.9934861510250275
32,it systems and network engineer tally weijl,Information Technology,Information Technology,0.5230255205463679,Professional,Senior,0.5155691686032771
33,it teamleiter aliud pharma gmbh,Information Technology,Information Technology,0.6549395351241769,Lead,Lead,0.753470904052408
34,senior project manager hypergene,Project Management,Project Management,0.9451495187563995,Senior,Senior,0.9949296314583026
35,geschaftsfuhrer hettich group,Other,Sales,0.23767065789021746,Management,Management,0.9821733399505965
36,head of hr chro giesecke devrient,Human Resources,Human Resources,0.9822011472522597,Lead,Lead,0.9723820572360081
37,chief scientific officer revitope,Other,Marketing,0.18834678170027913,Management,Management,0.9929972250119509
38,office associate asdhjbv,Administrative,Project Management,0.1701702030479916,Junior,Junior,0.7533328932117621
39,human resources consultant quest onthefrontier,Consulting,Human Resources,0.9063262039282182,Professional,Senior,0.6728072458547446
40,manager roche,Other,Sales,0.274865246724202,Professional,Senior,0.9999987695614801
41,managing director exelonix gmbh,Other,Sales,0.26861655077907054,Management,Director,0.9956310507503664
42,alleinvorstand roto frank holding ag roto frank holding ag,Other,Project Management,0.2607941322009862,Management,Lead,0.3772970639008368
43,duales studium diplom finanzwirt finanzamt munster außenstadt,Other,Sales,0.18854638607078095,Junior,Lead,0.43310793587396607
44,product manager frank gmbh,Project Management,Sales,0.24770788170803915,Professional,Senior,0.9264749460032498
45,reporter norra halland,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
46,geschaftsfuhrer enbet consulting,Other,Sales,0.2903593746612825,Management,Management,0.9616310494887433
47,member of the advisory board digitalnativealliance,Other,Sales,0.21200902111579345,Management,Senior,0.31388745431225196
48,cfo delabo group gmbh,Other,Sales,0.2167689396553846,Management,Management,0.3148950893160988
49,geschaftsfuhrer wehner consulting gmbh,Other,Sales,0.31183332885050846,Management,Management,0.9181606136113315
50,director sales kampffmeyer food innovation gmbh,Sales,Sales,0.8181046508748265,Director,Director,0.9807441183441499
51,sub stream lead simplify turnaround programs lufthansa,Project Management,Information Technology,0.1849238354147231,Lead,Management,0.3264375082276813
52,chief revenue officer cro noury ag,Sales,Project Management,0.16792875947669755,Management,Management,0.939932798712236
53,vice president german operation of cinram,Other,Sales,0.22332379807477087,Management,Management,0.9513141283385146
54,business development manager nordson adhesive dispensing systems,Business Development,Business Development,0.9896858129965911,Professional,Senior,0.9679983095041328
55,projektleiterin bildung myclimate,Other,Project Management,0.7012412939528797,Lead,Lead,0.794963983650542
56,co owner dreamcatcher alley,Other,Information Technology,0.1901735695500265,Management,Management,0.9700644759769138
57,practice leader data valorization strategy desjardins,Consulting,Information Technology,0.21532176354416402,Lead,Lead,0.37129042582150046
58,is guvenligi sedef shipbuilding inc,Other,Sales,0.19964312896266473,Professional,Lead,0.4040496774475856
59,geschaftsfuhrer bei giganet services gmbh giganet services gmbh,Other,Sales,0.23859499904876566,Management,Management,0.6261432288343413
60,strategic design director moodley,Marketing,Project Management,0.2086191866190818,Director,Director,0.9853333859765233
61,museumspadagoge fc bayern munchen,Other,Sales,0.20679406747020437,Professional,Lead,0.480520631697189
62,technical team lead nextwo co,Information Technology,Information Technology,0.19968738817924897,Lead,Management,0.3616548598240261
63,managing director widmer skippers,Other,Sales,0.2407556881151983,Management,Director,0.9989187342413034
64,gesellschafter augustin entsorgung holding gnbh,Other,Sales,0.19220838293750406,Management,Management,0.42629915354015235
65,maschinenbautechniker vta verfahrenstechnische anlagen gmbh co kg,Other,Sales,0.2212996580283222,Professional,Lead,0.34185438909283233
66,technical customer service manager flexible packaging henkel,Customer Support,Sales,0.1931389518768765,Lead,Senior,0.7806726711182718
67,java software engineer selecty,Information Technology,Project Management,0.3104959874253714,Professional,Senior,0.6010280652202263
68,new business manager fieldspace property group,Business Development,Business Development,0.8913075001108081,Lead,Senior,0.8755473078822691
69,strategic engagement manager atlassian,Business Development,Project Management,0.2169583115358254,Lead,Senior,0.9309366777708411
70,projektmanager edag engineering gmbh,Project Management,Project Management,0.6316737525873134,Professional,Lead,0.35301683728114025
71,innovationsberater innovationsberatung klaus michael ganter,Consulting,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
72,head of aws preseed and seedfinancing innovative solutions austria wirtschaftsservice,Other,Information Technology,0.23478849320256295,Lead,Lead,0.9292298296217959
73,director of product management murata vios,Project Management,Project Management,0.20176015063366975,Director,Director,0.9441635377815879
74,executive director of therapies and developmental services children s wisconsin,Other,Sales,0.1893526441014967,Director,Director,0.9793287257165606
75,technical product developer data scientist 7lytix,Information Technology,Project Management,0.22614697363866249,Professional,Senior,0.5004297096501975
76,projektmanager axians neo solutions technology gmbh,Project Management,Project Management,0.5101519371115719,Professional,Lead,0.34933824473822533
77,project engineer process technology future farming korber technologies,Information Technology,Project Management,0.6943128429886974,Professional,Senior,0.6092237149270314
78,kurucu ortak sor egitim danısmanlık,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
79,digital marketing manager cranfield university school of management,Marketing,Marketing,0.9527486620523725,Professional,Senior,0.9969306367484259
80,trainer docent hogeschool utrecht,Human Resources,Sales,0.18429385636917753,Professional,Lead,0.38537181264422926
81,procurement manager strategische inkoop byldis,Purchasing,Project Management,0.16452335444310168,Professional,Senior,0.8768646688632635
82,conversion rate optimization manager audibene gmbh,Marketing,Sales,0.29134562103808126,Professional,Senior,0.8828259841645578
83,partner rudisuhli rechtsanwalte part mbb,Business Development,Project Management,0.1712293145768787,Management,Management,0.3133758322936609
84,lead naval architect naval sea systems command navsea supship san diego,Other,Information Technology,0.3300369175998941,Lead,Management,0.37024531421279755
85,inside sales nidec control techniques,Sales,Sales,0.9193304087531323,Professional,Lead,0.45452369971832524
86,key account manager detlef meyer dm108 de leh vertrieb,Sales,Sales,0.97558470301528,Professional,Senior,0.9442780479150614
87,dr university,Other,Sales,0.18854638607078095,Professional,Lead,0.3916513721835998
88,ingenieur telair,Information Technology,Sales,0.19233830259336837,Professional,Lead,0.43310793587396607
89,managing director s h e d,Other,Sales,0.2407556881151983,Management,Director,0.9989187342413034
90,berufskraftfahrer paul schockemohle logistics gmbh co kg,Other,Sales,0.18731972145703166,Professional,Lead,0.3554409495187472
91,head of glass technology heinz glas produktion gmbh co kgaa,Other,Sales,0.23352524685092513,Lead,Lead,0.797241186301295
92,kaltetechniker bacher klima kalte e u,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
93,key account manager nagel group,Sales,Sales,0.8013929145622054,Professional,Senior,0.9726772892899146
94,geschaftsfuhrer selbststandig,Other,Sales,0.2862906362490686,Management,Management,0.9984099749604972
95,accounting manager dow jones local media group,Other,Information Technology,0.21287362705497018,Lead,Senior,0.9618152669206584
96,interims technical manager tts nmf gmbh,Information Technology,Sales,0.24532283864448612,Lead,Senior,0.955487026932924
97,project manager madeline stuart associates inc,Project Management,Project Management,0.9717694929275587,Professional,Senior,0.9897895022255943
98,management consultant information security and privacy cassini consulting ag,Consulting,Consulting,0.6184874607664702,Professional,Senior,0.8383000141836082
99,buroleiter pressesprecher dr zanda martens mdb buro dusseldorf,Administrative,Sales,0.20277004899155296,Lead,Lead,0.4333486816702355
100,titolare cariboni picollo s r l,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
101,departementssekretar finanz stadt zug,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
102,managing director aximpro,Other,Sales,0.2407556881151983,Management,Director,0.9989187342413034
103,officer morh,Administrative,Information Technology,0.1872931047742407,Professional,Management,0.9341037064766393
104,senior berater acm consultants gmbh,Consulting,Consulting,0.8398910853241466,Senior,Senior,0.8218736630939998
105,lehrbeauftragter berner fachhochschule bfh,Consulting,Sales,0.18854638607078095,Lead,Lead,0.43310793587396607
106,manager mergers acquisitions deloitte,Other,Sales,0.22909100166611687,Professional,Senior,0.8544268818848568
107,technical transfer leader roche pharmaceuticals,Consulting,Sales,0.2099597118870438,Lead,Lead,0.37790106155804587
108,account manager sælger helly hansen workwear sjælland bornholm helly hansen,Sales,Sales,0.8746064440432832,Professional,Senior,0.9965929519285559
109,geschaftsfuhrender gesellschafter agn gruppe,Other,Sales,0.21435895815532816,Management,Management,0.7421133757526817
110,director peter van setten transport b v,Other,Sales,0.28335753203946296,Director,Director,0.9867082626349482
111,lab mgr luxottica,Other,Sales,0.20977101446049573,Lead,Lead,0.42097932500346685
112,unternehmensinhaber herz transporte und spedition,Other,Marketing,0.30359353168634184,Management,Lead,0.718736757109685
113,board member cfo asset management kzvk,Other,Project Management,0.19399337255870833,Management,Senior,0.7140989419931656
114,ceo tirol werbung,Other,Marketing,0.17951980148445348,Management,Management,0.8871467604755661
115,finance aws global private pricing amazon web services aws,Other,Information Technology,0.24625977250500708,Professional,Lead,0.3963738522176776
116,software developer harmonic,Information Technology,Information Technology,0.20599340643506897,Professional,Lead,0.40413442307025715
117,vice president global head order processing prokurist ssi schafer,Other,Sales,0.24199707240639415,Management,Management,0.8214088199225882
118,nailartist lamano munchen,Other,Sales,0.20126530784712146,Professional,Lead,0.40521597626933337
119,ceo morgenpost tag 24 vertriebsleiter sachsische zeitung lesermark ceo mvd okoflitzer ddv mediengruppe,Other,Sales,0.47169257641803936,Lead,Management,0.9450789434426854
120,styreleder partner hellemyr eiendom as,Other,Project Management,0.1712293145768787,Management,Senior,0.3142264163851638
121,vertriebsleiter lsdgmbh,Sales,Sales,0.9719506612662732,Lead,Lead,0.9882231755831602
122,director of sales cambria hotel mall of america,Sales,Sales,0.8673917343328775,Director,Director,0.9714198679825655
123,industriekauffrau shf gmbh,Administrative,Sales,0.250601179373275,Professional,Lead,0.3594780295646011
124,projektleiter qualitat hv batterie mercedes benz ag,Project Management,Project Management,0.5342862491660625,Lead,Lead,0.640291272603408
125,global director head of portfolio and business development global service giesecke devrient,Business Development,Business Development,0.6771817147100995,Director,Director,0.841294136424391
126,betreuer verein gin,Customer Support,Sales,0.18913063257049567,Professional,Lead,0.43310793587396607
127,summer camp counselor thayer academy,Other,Sales,0.18718123959957936,Professional,Lead,0.43310793587396607
128,project lead for swap re engineering project davidson kempner capital management,Project Management,Project Management,0.8817058942791337,Lead,Senior,0.7813084046639719
129,kanzler cfo frankfurt school of finance management,Other,Information Technology,0.194090224454015,Management,Senior,0.5835510519980642
130,manager purchasing laytec,Purchasing,Purchasing,0.9503478802782993,Professional,Senior,0.9612188009740809
131,personalleiter lebenhilfe augsburg,Human Resources,Sales,0.18854638607078095,Lead,Lead,0.43310793587396607
132,assistant director of prospect management and data analytics the johns hopkins university,Other,Project Management,0.2022282786043276,Director,Director,0.6502734237693962
133,klavierlehrer korrepetitor jugendmusikschule wurttembergisches allgau,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
134,managing partner group managing board alexander hughes germany alexander hughes international,Other,Sales,0.21948404810080863,Management,Senior,0.5138099900293437
135,manager queensland corrective services,Other,Information Technology,0.22272908754202744,Professional,Senior,0.9957179234218864
136,founder and senior partner black forest business solutions,Consulting,Business Development,0.8525028539182343,Management,Senior,0.41248673161500476
137,vorsitzender des vorstandes lohr becker aktiengesellschaft,Other,Information Technology,0.2190006082062552,Management,Management,0.864081310445656
138,head of engineering fti engineering network gmbh,Information Technology,Sales,0.25765755611442864,Lead,Lead,0.8142224604459626
139,oberarzt uc bethesda khs stuttgart,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
140,district sales manager fedex express,Sales,Sales,0.9423254606588578,Lead,Senior,0.9749246137442886
141,assistant treasurer real estate efg bank,Other,Marketing,0.1901216187139902,Junior,Senior,0.43430532424716306
142,managing dircector np4 gmbh,Other,Sales,0.2379024215839302,Management,Senior,0.3059124274103188
143,director of business analysts and special projects southeast bank,Information Technology,Business Development,0.6858092817134731,Director,Director,0.9004075276439674
144,robotertechniker edag austria,Information Technology,Sales,0.2255153832293588,Professional,Lead,0.4781474398943983
145,oo koordinator fur das team der bereiche beschlagwortung zustellproblem sozialversicherung der selbstandigen,Purchasing,Administrative,0.3049342904209627,Lead,Lead,0.5460783776711383
146,head of content workflows ibm ix dach,Marketing,Information Technology,0.25638210103598646,Lead,Lead,0.883911617213059
147,scierie collignon scierie collignon,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
148,godsejer tyrrestrup,Other,Sales,0.18854638607078095,Management,Lead,0.43310793587396607
149,senior microsoft 365 engineer deichmann se,Information Technology,Project Management,0.24398831182254774,Senior,Senior,0.9561638478452692
150,product manager online catalog shop zf group,Other,Marketing,0.25258548840790057,Professional,Senior,0.9016088534419237
151,diplom bauingenieur isp stahlbauplanung,Other,Sales,0.18854638607078095,Professional,Lead,0.43310793587396607
152,executive director marketing strategy director jpmorgan chase co,Marketing,Marketing,0.6571085049524198,Management,Director,0.9977160381736155
153,leiter controlling und rechnungswesen vrg gmbh,Other,Sales,0.3285509650929827,Lead,Lead,0.9057681413044195
154,president liberty civil construction llc,Other,Sales,0.20173861510790128,Management,Management,0.6260652014902767
155,architektin fachgebietsleitung technisches und strategisches gebaudemanagement kreisverwaltung darmstadt dieburg,Project Management,Marketing,0.25941367937899296,Lead,Lead,0.5253553642920064
156,shop manager deichmann,Administrative,Sales,0.274865246724202,Lead,Senior,0.9999987695614801
157,co ceo virtwo,Other,Information Technology,0.19503441800781704,Management,Management,0.9796348387272478
